#MeshBlock,PostCode
20393290000,3000
20393273000,3000
20393272000,3000
20631981360,3000
20399891000,3000
20393271000,3000
20393212000,3000
20631981390,3000
20394580000,3000
20394620000,3000
20394630000,3000
20394640000,3000
20394731000,3000
20394732000,3000
20394733000,3000
20393211000,3000
20393202000,3000
20393201000,3000
20393190000,3000
20393180000,3000
20631982930,3000
20393170000,3000
20393160000,3000
20393120000,3000
20393110000,3000
20631981790,3000
20631981800,3000
20631898760,3000
20631898750,3000
20393100000,3000
20393090000,3000
20393080000,3000
20393030000,3000
20392970000,3000
20400972000,3000
20631898610,3000
20392960000,3000
20631898590,3000
20392950000,3000
20392940000,3000
20392910000,3000
20401552000,3000
20392890000,3000
20392870000,3000
20400980000,3000
20392860000,3000
20401423000,3000
20401422000,3000
20401421000,3000
20401812000,3000
20401811000,3000
20401330000,3000
20396620000,3002
20397290000,3002
20397311000,3002
20397312000,3002
20397320000,3002
20397360000,3002
20397370000,3002
20397440000,3002
20397450000,3002
20397970000,3002
20397980000,3002
20397990000,3002
20398020000,3002
20398030000,3002
20398060000,3002
20398480000,3002
21299850000,3002
20398490000,3002
20398730000,3002
20398010000,3002
20399220000,3002
20399230000,3002
20399250000,3002
20399260000,3002
20399270000,3002
20399280000,3002
20399291000,3002
20399292000,3002
20399310000,3002
20399321000,3002
20399322000,3002
20399330000,3002
20399340000,3002
20396422000,3002
20396421000,3002
20396400000,3002
20396390000,3002
20401950000,3002
20400140000,3002
20400180000,3002
20395720000,3002
20395700000,3002
20400160000,3002
20395570000,3002
20395560000,3002
20395520000,3002
20395510000,3002
20395480000,3002
20395470000,3002
20401000000,3002
20401190000,3002
20401880000,3002
20401870000,3002
20400710000,3002
20631994990,3002
20631936900,3002
20631936910,3002
20631938150,3002
20631938300,3002
20631939190,3002
20400830000,3002
20401800000,3002
20401792000,3002
20401791000,3002
20401784000,3002
20401783000,3002
20401782000,3002
20401781000,3002
20401772000,3002
20400990000,3002
20401771000,3002
20401760000,3002
20401750000,3002
20401740000,3002
20401730000,3002
20401660000,3002
20401650000,3002
20400080000,3002
20668110000,3002
20668120000,3002
20668210000,3002
20396610000,3002
20396590000,3002
20396500000,3002
20396490000,3002
20396440000,3002
20396430000,3002
20395580000,3002
20397910000,3003
20397860000,3003
20397850000,3003
20397260000,3003
20397240000,3003
20397210000,3003
20396922000,3003
20396910000,3003
20631990350,3003
20631900250,3003
20631898540,3003
20401924000,3003
20401921000,3003
20401913000,3003
20401912000,3003
20401911000,3003
20401580000,3003
20401570000,3003
20396380000,3003
20396360000,3003
20401410000,3003
20396140000,3003
20401400000,3003
20401260000,3003
20401252000,3003
20401251000,3003
20401173000,3003
20401172000,3003
20401171000,3003
20401052000,3003
20401040000,3003
20401030000,3003
20400912000,3003
20400911000,3003
20400804000,3003
20400803000,3003
20400802000,3003
20400623000,3003
20400622000,3003
20675210000,3003
20675220000,3003
20400621000,3003
20400610000,3003
20400600000,3003
20400592000,3003
20400591000,3003
20400540000,3003
20399750000,3003
20399680000,3003
20399650000,3003
20399644000,3003
20399643000,3003
20399642000,3003
20399641000,3003
20398970000,3003
20398963000,3003
20398962000,3003
20398961000,3003
20398932000,3003
20398931000,3003
20398890000,3003
20398880000,3003
20398870000,3003
20398853000,3003
20398852000,3003
20398851000,3003
20398840000,3003
20668610000,3003
20398690000,3003
20398662000,3003
20398661000,3003
20398420000,3003
20398400000,3003
20397940000,3003
20397920000,3003
20631963220,3004
20631963210,3004
20631963170,3004
20631963160,3004
20631963150,3004
20631963140,3004
20533383000,3004
20533370000,3004
20533360000,3004
20631963130,3004
20400690000,3004
20400650000,3004
20400640000,3004
20631963120,3004
20533350000,3004
20533340000,3004
20631943490,3004
20631943540,3004
20631963110,3004
20533331000,3004
20631963100,3004
20631963090,3004
20533320000,3004
20533300000,3004
20533270000,3004
20533261000,3004
20631943480,3004
20400680000,3004
20668140000,3004
20668150000,3004
20400670000,3004
20631933380,3004
20533233000,3004
20631963070,3004
20631961740,3004
20533231000,3004
20533205000,3004
20533110000,3004
20532430000,3004
20532420000,3004
20532410000,3004
20532400000,3004
20532210000,3004
20631963260,3004
20631963250,3004
20631961480,3004
20631963240,3004
20631940050,3004
20631963230,3004
20531000000,3004
20530941000,3004
20522880000,3004
20530510000,3004
20530420000,3004
20530410000,3004
20631952850,3004
20631952830,3004
20529360000,3004
20529350000,3004
20528734000,3004
20528733000,3004
20528732000,3004
20528120000,3004
20399050000,3004
20399040000,3004
20399031000,3004
20528113000,3004
20528112000,3004
20528090000,3004
20528080000,3004
20522900000,3004
20522870000,3004
20521410000,3004
21299970000,3004
20520750000,3004
20631996420,3004
20631995350,3004
20631945520,3004
20530930000,3004
20675190000,3004
20400030000,3004
20400702000,3004
20400190000,3004
20400701000,3004
20631945510,3004
20631946680,3004
20631975640,3004
20631975630,3004
20631933390,3004
20394824000,3005
20395090000,3005
20394822000,3005
20394823000,3005
20533243000,3006
20533242000,3006
20533241000,3006
20532096000,3006
20532095000,3006
20532093000,3006
20532092000,3006
20532091000,3006
20531265000,3006
20631943830,3006
20631913360,3006
20631913310,3006
20631981110,3006
20531263000,3006
20631981100,3006
20631981090,3006
20394870000,3006
20394880000,3006
20394890000,3006
20394860000,3006
20394900000,3006
20394910000,3006
20394830000,3006
20631911400,3006
20632006620,3006
20631933010,3006
20631979060,3006
20632005150,3006
20394785000,3006
20394783000,3006
20394784000,3006
20394850000,3006
20631981920,3006
20395430000,3006
20394782000,3006
20394781000,3006
20395367000,3006
20395366000,3006
20395363000,3006
20395362000,3006
20395350000,3006
20395342000,3006
20395341000,3006
20395332000,3006
20395331000,3006
20395322000,3006
20395321000,3006
20395311000,3006
20395302000,3006
20395301000,3006
20395290000,3006
20395280000,3006
20395271000,3006
20531261000,3006
20395020000,3006
20395010000,3006
20395000000,3006
20394990000,3006
20394980000,3006
20631983400,3006
20394970000,3006
20394963000,3006
20395260000,3006
20394950000,3006
20395250000,3006
20631899550,3006
20394940000,3006
20395240000,3006
20631935690,3006
20631899560,3006
20631931350,3006
20631900500,3006
20631936140,3006
20631938860,3006
20394930000,3006
20631945370,3006
20395460000,3006
20631925300,3006
20529532000,3006
20394801000,3006
20631945440,3006
20394810000,3006
20631945470,3006
20631945480,3006
20631945490,3006
20529531000,3006
20631905370,3006
20394961000,3006
20394821000,3006
20631935830,3006
20395160000,3006
20395122000,3006
20395113000,3006
20395112000,3006
20631988490,3006
20533246000,3006
20395080000,3006
20395150000,3006
20395070000,3006
20395060000,3006
20631916370,3006
20533245000,3006
20394790000,3006
20395050000,3006
20631941750,3006
20395040000,3006
20533244000,3006
20395130000,3006
20395030000,3006
20631923570,3006
20631899340,3006
20631899350,3006
20532094000,3006
20632005130,3008
20631911410,3008
20631913090,3008
20631914540,3008
20631918660,3008
20631940770,3008
20631925890,3008
20631937640,3008
20631936970,3008
20631936950,3008
20631979210,3008
20631980360,3008
20631980370,3008
20631980380,3008
20631980390,3008
20631980580,3008
20631980590,3008
20631980600,3008
20631980610,3008
20631980620,3008
20631980720,3008
20394770000,3008
20631982010,3008
20631983440,3008
20631926900,3008
20631995410,3008
20631997490,3008
20395171000,3008
20395172000,3008
20395173000,3008
20395174000,3008
20395180000,3008
20395192000,3008
20395200000,3008
20395210000,3008
20395220000,3008
20395230000,3008
20631953170,3008
20631953180,3008
20631953190,3008
20395371000,3008
20395373000,3008
20395374000,3008
20395377000,3008
20395380000,3008
20395390000,3008
20631956830,3008
20631956840,3008
20631956850,3008
20395400000,3008
20395410000,3008
20395440000,3008
20395451000,3008
20395452000,3008
20395457000,3008
20631903110,3008
20400281000,3010
20375260000,3011
20377140000,3011
20375200000,3011
20375192000,3011
20375191000,3011
20372722000,3011
20375180000,3011
20375170000,3011
20377160000,3011
20375160000,3011
20631998190,3011
20631998170,3011
20377123000,3011
20377122000,3011
20631998120,3011
20631951700,3011
20376930000,3011
20631951690,3011
20631951680,3011
20631951670,3011
20372790000,3011
20631951660,3011
20371650000,3011
20371660000,3011
20371550000,3011
20376780000,3011
20376740000,3011
20371540000,3011
20371770000,3011
20631951460,3011
20631951450,3011
20631951440,3011
20631951280,3011
20377340000,3011
20631951270,3011
20377170000,3011
20631986220,3011
20371780000,3011
20374630000,3011
20374620000,3011
20377210000,3011
20377370000,3011
20631912310,3011
20374480000,3011
20374460000,3011
20379631000,3011
20379632000,3011
20376250000,3011
20371790000,3011
20379633000,3011
20371800000,3011
20631904140,3011
20668260000,3011
20668250000,3011
20631916090,3011
20631904130,3011
20631903720,3011
20376260000,3011
20374340000,3011
20372000000,3011
20374330000,3011
20371530000,3011
20631984080,3011
20377010000,3011
20379634000,3011
20379635000,3011
20379640000,3011
20379660000,3011
20379670000,3011
20379680000,3011
20379690000,3011
20379700000,3011
20379710000,3011
20379720000,3011
20379730000,3011
20374320000,3011
20374300000,3011
20372860000,3011
20372850000,3011
20631917250,3011
20371520000,3011
20371510000,3011
20376920000,3011
20371430000,3011
20372730000,3011
20374280000,3011
20374260000,3011
20374250000,3011
20377130000,3011
20371420000,3011
20374240000,3011
20372780000,3011
20371415000,3011
20377030000,3011
20371630000,3011
20371414000,3011
20631901920,3011
20376610000,3011
20718510000,3011
20374230000,3011
20379170000,3011
20376600000,3011
20379180000,3011
20380102000,3011
20376320000,3011
20372840000,3011
20372820000,3011
20372830000,3011
20631901930,3011
20374212000,3011
20374211000,3011
20373220000,3011
20374200000,3011
20631956610,3011
20631956620,3011
20631956630,3011
20374130000,3011
20374120000,3011
20631918310,3011
20374110000,3011
20374102000,3011
20378400000,3011
20378390000,3011
20371411000,3011
20371412000,3011
20378380000,3011
20378370000,3011
20378360000,3011
20378350000,3011
20377121000,3011
20378340000,3011
20376593000,3011
20378320000,3011
20378310000,3011
20373090000,3011
20376060000,3011
20379190000,3011
20379200000,3011
20379210000,3011
20376070000,3011
20378300000,3011
20373070000,3011
20376080000,3011
20372750000,3011
20376090000,3011
20379230000,3011
20376100000,3011
20378290000,3011
20378230000,3011
20377100000,3011
20371490000,3011
20379240000,3011
20376110000,3011
20379260000,3011
20379270000,3011
20376140000,3011
20379280000,3011
20376150000,3011
20379290000,3011
20379300000,3011
20379330000,3011
20376161000,3011
20376163000,3011
20377080000,3011
20378013000,3011
20378012000,3011
20378011000,3011
20372800000,3011
20373050000,3011
20377980000,3011
20377070000,3011
20373030000,3011
20374101000,3011
20373020000,3011
20376164000,3011
20379341000,3011
20374090000,3011
20374070000,3011
20374060000,3011
20374050000,3011
20374040000,3011
20631922070,3011
20631922080,3011
20717540000,3011
20717530000,3011
20374030000,3011
20377840000,3011
20377830000,3011
20377780000,3011
20377770000,3011
20377652000,3011
20377620000,3011
20377610000,3011
20377600000,3011
20631990750,3011
20377539000,3011
20377538000,3011
20377535000,3011
20631929410,3011
20631930520,3011
20631930530,3011
20631931570,3011
20631931960,3011
20377534000,3011
20377533000,3011
20377532000,3011
20377531000,3011
20377040000,3011
20373010000,3011
20373000000,3011
20377520000,3011
20372990000,3011
20372810000,3011
20372740000,3011
20371440000,3011
20371450000,3011
20631980290,3011
20372910000,3011
20372900000,3011
20371460000,3011
20371470000,3011
20379342000,3011
20379350000,3011
20376166000,3011
20376170000,3011
20372890000,3011
20372870000,3011
20379360000,3011
20372760000,3011
20377510000,3011
20377490000,3011
20379370000,3011
20371390000,3011
20371413000,3011
20379380000,3011
20371380000,3011
20379390000,3011
20376180000,3011
20379401000,3011
20376190000,3011
20376200000,3011
20371370000,3011
20379402000,3011
20379410000,3011
20379422000,3011
20371360000,3011
20379432000,3011
20379433000,3011
20379441000,3011
20379442000,3011
20379443000,3011
20379451000,3011
20379452000,3011
20379456000,3011
20379461000,3011
20379462000,3011
20379463000,3011
20379464000,3011
20379465000,3011
20379466000,3011
20379472000,3011
20379473000,3011
20379481000,3011
20371640000,3011
20379482000,3011
20379483000,3011
20379490000,3011
20371610000,3011
20379500000,3011
20379510000,3011
20379520000,3011
20379530000,3011
