time_step,cur_activity,charge_received,charge_received_pv,charge_received_grid,charge_received_work,charge_received_public,soc,mu,work_charge_instruction,home_charge_instruction,emergency_charge_instruction,soc_abs
11710,1,0,0,0,0,0,0.486,11.82,0,4.988,0,37.422
11715,1,0,0,0,0,0,0.486,11.819,0,4.988,0,37.422
11720,1,0,0,0,0,0,0.486,11.819,0,4.988,0,37.422
11725,1,0,0,0,0,0,0.486,11.819,0,4.988,0,37.422
11730,1,0,0,0,0,0,0.486,11.819,0,4.988,0,37.422
11735,1,0,0,0,0,0,0.486,11.818,0,4.988,0,37.422
11740,1,0,0,0,0,0,0.486,11.818,0,4.988,0,37.422
11745,1,0,0,0,0,0,0.486,11.818,0,4.988,0,37.422
11750,1,0,0,0,0,0,0.486,11.818,0,4.988,0,37.422
11755,1,0,0,0,0,0,0.486,11.817,0,4.988,0,37.422
11760,1,0,0,0,0,0,0.486,11.817,0,4.988,0,37.422
11765,1,0,0,0,0,0,0.486,11.817,0,4.988,0,37.422
11770,1,0,0,0,0,0,0.486,11.817,0,4.988,0,37.422
11775,1,0,0,0,0,0,0.486,11.817,0,4.988,0,37.422
11780,1,0,0,0,0,0,0.486,11.816,0,4.988,0,37.422
11785,1,0,0,0,0,0,0.486,11.816,0,4.988,0,37.422
11790,1,0,0,0,0,0,0.486,11.816,0,4.988,0,37.422
11795,1,0,0,0,0,0,0.486,11.816,0,4.988,0,37.422
11800,1,0,0,0,0,0,0.486,11.816,0,4.988,0,37.422
11805,1,0,0,0,0,0,0.486,11.816,0,4.988,0,37.422
11810,1,0,0,0,0,0,0.486,11.815,0,4.988,0,37.422
11815,1,0,0,0,0,0,0.486,11.815,0,4.988,0,37.422
11820,1,0,0,0,0,0,0.486,11.815,0,4.988,0,37.422
11825,1,0,0,0,0,0,0.486,11.814,0,4.988,0,37.422
11830,1,0,0,0,0,0,0.486,11.814,0,4.988,0,37.422
11835,1,0,0,0,0,0,0.486,11.813,0,4.988,0,37.422
11840,1,0.917,0,0.917,0,0,0.498,11.813,0,4.988,0,38.346
11845,1,0.917,0,0.917,0,0,0.51,11.812,0,4.071,0,39.27
11850,1,0.917,0,0.917,0,0,0.522,11.812,0,3.155,0,40.194
11855,1,0.917,0,0.917,0,0,0.534,11.811,0,2.238,0,41.118
