Uid,Name,Longitude,Latitude,Occupants_distribution,Occupants_values,pv_density,pv_capacity_in_kW,distance_commuted_if_work_and_home_equal_distribution,distance_commuted_if_work_and_home_equal_values
21004,Sunbury,144.73206,-37.5663,2840;4301;2455;2533;1096;424,1;2;3;4;5;6,0.258489577,4.183616536,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.19364833462432224;0.4740511231603408;0.21843532145623548;0.07203718048024788;0.021301316808675447;0.011231603408210689;0.004647560030983733;0.0023237800154918666;0.0011618900077459333;0.0;0.0011618900077459333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21005,Tullamarine - Broadmeadows,144.88129,-37.61379,7342;11624;8923;9928;5382;4158,1;2;3;4;5;6,0.254808404,4.658746045,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.09299007846443162;0.1442189222488814;0.14460800207509242;0.1477206406847805;0.13857726476882173;0.12035535957460605;0.07898320472083523;0.0496076778419039;0.03235847221321574;0.023669022761169833;0.021529083717009272;0.003955644899811945;0.0010375462032293625;0.000389079826211011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21101,Knox,145.26051,-37.89004,10857;16499;9932;10704;4007;1661,1;2;3;4;5;6,0.219027601,3.839520874,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.12729970326409495;0.2641691394658754;0.2478486646884273;0.18894658753709198;0.10467359050445103;0.04591988130563798;0.015356083086053412;0.0057863501483679525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21102,Manningham - East,145.23043,-37.75606,1266;2454;1368;1932;943;289,1;2;3;4;5;6,0.217915504,4.068587106,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.391304347826087;0.22762148337595908;0.13810741687979539;0.12020460358056266;0.05370843989769821;0.04092071611253197;0.028132992327365727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21103,Maroondah,145.26544,-37.80476,9615;12739;6644;6998;2782;1041,1;2;3;4;5;6,0.157424939,3.778662918,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.1651551922340018;0.3093626261336058;0.2545663558564312;0.17269127602503512;0.08736747988248819;0.010857069868437859;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21104,Whitehorse - East,145.18787,-37.83329,4999;6800;3795;4258;1519;536,1;2;3;4;5;6,0.164441819,3.756226054,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.3714717741935484;0.4097782258064516;0.1844758064516129;0.034274193548387094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21105,Yarra Ranges,145.54986,-37.74721,10734;17188;8660;9302;4035;1726,1;2;3;4;5;6,0.207193925,3.883703137,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.1386691484411354;0.1671209200292495;0.14239181014425314;0.11201223160273882;0.07837532407099648;0.05112012231602739;0.03656185601276341;0.03908794788273615;0.03204148108754903;0.03337100312437679;0.02858472379179685;0.03177557668018347;0.027454630060493253;0.023266635644485806;0.014159409692215649;0.011832746127767068;0.009240178155952935;0.0077112278136010105;0.004520374925214386;0.0037891378049591173;0.002791996277338297;0.0015954264441933126;0.0013959981386691485;0.00046533271288971617;0.0006647610184138802;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21201,Cardinia,145.57284,-38.08296,5782;9618;5539;6011;2715;1394,1;2;3;4;5;6,0.256013856,4.312453019,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.13107549120992762;0.20346432264736297;0.16610651499482937;0.09074457083764219;0.06062564632885212;0.04769906928645295;0.05054291623578076;0.04201137538779731;0.0405894519131334;0.04033092037228542;0.03192864529472596;0.028955532574974147;0.021845915201654603;0.016804550155118926;0.009177869700103413;0.007368148914167529;0.0038779731127197518;0.0015511892450879006;0.0018097207859358842;0.0019389865563598759;0.000517063081695967;0.000517063081695967;0.000517063081695967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21202,Casey - North,145.31216,-38.00451,7013;11837;7645;9044;3935;2360,1;2;3;4;5;6,0.271209629,4.084668923,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.12838604006551593;0.2602998614085927;0.23207761118810633;0.17248330603502582;0.1064633992692453;0.058586367645206;0.03036411742471967;0.009701398513292176;0.0016378984502960817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21203,Casey - South,145.30776,-38.14399,7044;12963;9809;11572;5174;3718,1;2;3;4;5;6,0.354395076,4.621935776,2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76,0.15175214317942548;0.22048428335087983;0.2025868551661904;0.15671529553316288;0.1106933373439615;0.05715145134606708;0.03489246503233569;0.03098210257181531;0.01669423973529854;0.009775906151300948;0.005564746578432847;0.002255978342607911;0.0004511956685215822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
