"postcode","instals","estimated_dwellings","density","capacity","capunder10","cap10_100","capover100","countunder10","count10_100","countover100","pot_kw","pot_sqm","pot_gwh"
"6230","6032","19725","29.7","26167.0","21875.0","4292.0","0.0","5868","164","0","417184.0","2,669,976","612.1"
"6232","2053","4983","40.9","8037.0","7573.0","234.0","230.0","2040","12","1","83852.0","536,651","122.7"
"6233","3504","8627","40.3","14701.0","13561.0","800.0","340.0","3475","27","2","162339.0","1,038,968","237.6"
"6236","431","897","46.8","1914.0","1681.0","233.0","0.0","420","11","0","43811.0","280,392","64.3"
"6237","539","988","52.9","2296.0","1993.0","303.0","0.0","523","16","0","41475.0","265,442","60.5"
"6239","921","2122","41.1","4040.0","3064.0","976.0","0.0","872","49","0","63678.0","407,541","93.1"
"6240","50","64","73.4","226.0","175.0","51.0","0.0","47","3","0","5069.0","32,439","7.4"
"6243","4","33","","16.0","16.0","0.0","0.0","4","0","0","2571.0","16,456","3.4"
"6244","209","870","22.8","915.0","756.0","159.0","0.0","198","11","0","42542.0","272,272","56.4"
"6251","77","220","30.0","564.0","272.0","292.0","0.0","66","11","0","9287.0","59,437","13.6"
"6252","20","93","19.4","96.0","74.0","22.0","0.0","18","2","0","2505.0","16,030","3.7"
"6253","152","431","34.1","579.0","464.0","115.0","0.0","147","5","0","12660.0","81,025","16.8"
"6254","75","259","28.6","299.0","278.0","21.0","0.0","74","1","0","5725.0","36,639","7.7"
